Name,18cap,18cash,19cap,19cash,20cap,20cash, sumcap , sumcash , Cap , Cash 
Andy Lee,"2,377,500","2,015,000","2,000,000","2,000,000","2,000,000","2,000,000","6,377,500","6,015,000",2125833,2005000
Sam Koch,"3,550,000","2,750,000","3,950,000","3,150,000","2,150,000","4,250,000","9,650,000","10,150,000",3216667,3383333
Corey Bojorquez,"418,059","418,059","570,000","570,000","750,000","750,000","1,738,059","1,738,059",579353,579353
Michael Palardy,"1,230,000","2,630,000","1,400,000","900,000","1,100,000","1,600,000","3,730,000","5,130,000",1243333,1710000
Pat O'Donnell,"1,500,000","1,500,000","1,650,000","1,750,000","1,850,000","1,750,000","5,000,000","5,000,000",1666667,1666667
Kevin Huber,"2,300,000","3,000,000","2,750,000","2,550,000","3,050,000","2,550,000","8,100,000","8,100,000",2700000,2700000
Chris Jones,"1,700,000","1,200,000","2,300,000","1,800,000","2,400,000","1,900,000","6,400,000","4,900,000",2133333,1633333
Colby Wadman,"367,059","367,059","570,000","570,000",0,0,"937,059","937,059",468530,468530
Sam Martin,"2,925,000","2,425,000","2,300,000","1,800,000","1,533,333","2,500,000","6,758,333","6,725,000",2252778,2241667
J.K. Scott,"534,389","697,556","624,389","570,000","804,389","750,000","1,963,167","2,017,556",654389,672519
Bryan Anger,"3,000,000","3,000,000","569,118","820,588","2,416,666","3,250,000","5,985,784","7,070,588",1995261,2356863
Rigoberto Sanchez,"559,000","555,000","3,004,000","3,000,000","2,000,000","2,000,000","5,563,000","5,555,000",1854333,1851667
Ryan Allen,"2,000,000","1,500,000","189,412","189,412",0,0,"2,189,412","1,689,412",1094706,844706
Logan Cooke,"497,906","551,624","587,906","570,000","767,906","750,000","1,853,718","1,871,624",617906,623875
Johnny Hekker,"2,678,554","3,000,001","2,187,000","3,250,000","4,687,000","3,500,000","9,552,554","9,750,001",3184185,3250000
A.J. Cole,0,0,"495,833","497,500","675,833","675,000","1,171,666","1,172,500",585833,586250
Matt Haack,"556,333","555,000","646,334","645,000","2,133,000","2,133,000","3,335,667","3,333,000",1111889,1111000
Britton Colquitt,"2,550,000","2,550,000","645,000","930,000","1,816,666","3,250,000","5,011,666","6,730,000",1670555,2243333
Jake Bailey,0,0,"567,520","785,080","747,520","675,000","1,315,040","1,460,080",657520,730040
Thomas Morstead,"2,650,000","5,950,000","4,250,000","3,250,000","4,300,000","3,300,000","11,200,000","12,500,000",3733333,4166667
Riley Dixon,"630,000","630,000","865,002","1,220,000","2,785,000","2,660,000","4,280,002","4,510,000",1426667,1503333
Lachlan Edwards,"648,949","630,000","738,949","720,000","654,275","787,100","2,042,173","2,137,100",680724,712367
Cameron Johnston,"487,500","495,000","577,500","570,000","750,000","750,000","1,815,000","1,815,000",605000,605000
Jordan Berry,"1,907,000","1,907,000","1,525,000","1,900,000","485,294","588,824","3,917,294","4,395,824",1305765,1465275
Michael Dickson,"552,538","770,152","642,538","570,000","822,538","750,000","2,017,614","2,090,152",672538,696717
Mitch Wishnowsky,0,0,"686,018","1,259,072","866,018","675,000","1,552,036","1,934,072",776018,967036
Bradley Pinion,"753,550","705,000","2,600,000","2,600,000","2,700,000","2,700,000","6,053,550","6,005,000",2017850,2001667
Brett Kern,"3,500,000","3,000,000","2,950,000","4,100,000","3,300,000","2,650,000","9,750,000","9,750,000",3250000,3250000
Tress Way,"1,750,000","1,500,000","1,900,000","1,650,000","2,600,000","4,750,000","6,250,000","7,900,000",2083333,2633333
